title,company
Intern in Financial Asset Management,JETBRAINS POLAND sp. z o.o.
Osoba Fundraiserska,Fundacja Greenpeace Polska
Stażystka / Stażysta w Dziale Marketingu,Lisner
Internal Control Apprentice,John Deere Polska Sp. z o.o.
Stażysta/Stażystka w Dziale Finansowo- Księgowym,Grupa Amica
Praktykant / Praktykantka w dziale Sprzedaży,NIVEA Polska Sp. z o.o.
Praktykant / Praktykantka w Zespole Planowania,NIVEA Polska Sp. z o.o.
Praktykant / Praktykantka w dziale 3PM Network Inventory Planning,Beiersdorf Shared Services Poland
Płatny staż w obszarze analiz OZE i handlu energią elektryczną (m/k),ENEA Trading Sp. z o.o.
Kosztorysant / Kosztorysantka - Specjalista / Specjalistka ds. kosztorysowania i ofertowania,DM WIndow Solutions Ltd
Praktyki w dziale rekrutacji i obsługi klienta,OTTO Work Force
Staż w Letniej Akademii Talentów – Mobile Developer (f/m/x),Sii Sp. z o.o.
Stażystka / Stażysta w Zespole Audytu – symulacja projektu audytorskiego,Grant Thornton
Staż w dziale operacji i logistyki,Amazon
Recall Project Team Intern,"Bridgestone Europe NV/SA Spółka Akcyjna Oddział w Polsce, SSC w Poznaniu"
Stażysta (k/m) – Letnia Akademia BGK,Bank Gospodarstwa Krajowego
LeoPraktyki w Zespole Likwidacji Szkód Agro i Majątkowych,Generali
Płatne praktyki | Transfer Pricing,PwC
Stażystka / Stażysta do Departamentu Administracji / Biura Administracji Operacyjnej,ENEA Centrum Sp. z o.o.
"Applications Consultant Intern (with Dutch, Microsoft Business Apps)",Capgemini Polska
Staż w Dziale Zakupów – producent AGD (spółka giełdowa),Polska Rada Biznesu Program Kariera
Praktykant / Praktykantka w Dziale Controllingu,Beiersdorf Shared Services Poland
Design Engineer (M/K) – płatny staż i szkolenie od 04.05.2026,EDAG Engineering Polska Sp. z o.o.
Pomoc fryzjerska,Jean Louis David
Pomoc fryzjerska,Jean Louis David
Pomoc fryzjerska,Jean Louis David
Management Trainee - Financial Track,Jeronimo Martins
"Intern Low Code Consultant (Mendix, Power Platform, with German)",Capgemini Polska
Stażysta / Stażystka w dziale Marketingu Agrar,Erbacher the food family
Stażysta / Stażystka w obszarze Sales & Markets (Dział koński),Erbacher the food family
Stażysta / Stażystka w obszarze Supply Chain Management,Erbacher the food family
Stażysta / Stażystka w obszarze Sales Support (Obsługa klienta),Erbacher the food family
Zleceniobiorczyni / Zleceniobiorca w Zespole Wsparcia IT,Żabka Polska
DevOps Cloud Trainee,Vertex Recruitments
Praktykant / Praktykantka w Dziale Zakupów,Beiersdorf Shared Services Poland
Youth Development Program – Praktykant/ka ds. Dokumentacji i Wsparcia Projektów Technicznych (m/k/d),Signal Group sp. z o.o.
Youth Development Program – Praktykant/ka ds. Grafiki i Materiałów Wizualnych (m/k/d),Signal Group sp. z o.o.
Youth Development Program – Praktykant/ka ds. Tworzenia Treści i Komunikacji Marketingowej (m/k/d),Signal Group sp. z o.o.
Youth Development Program - AI-Assisted Developer (staż/praktyki) (m/k/d),Signal Group sp. z o.o.
Youth Development Program - Tester/ka oprogramowania (staż/praktyki) (m/k/d),Signal Group sp. z o.o.
Youth Development Program – Praktykant/ka w Dziale Realizacji Inwestycji (m/k/d),Signal Group sp. z o.o.
Staż w dziale marketingu handlowego,Imperial Tobacco Polska S.A.
Stażysta / Stażystka w dziale HR z językiem Francuskim i Angielskim / HR Intern with French and English,Randstad Polska Sp. z o.o.
Stażysta / Stażystka w obszarze Digitalisation (Design),Erbacher the food family
EYe on Tax - XXI edycja konkursu dla studentów,EY (dawniej Ernst & Young)
Staż w obszarze zarządzania energią – sieć handlowa (modern convenience / retail),Polska Rada Biznesu Program Kariera
Staż w obszarze Recruitment Assistance – firma z branży IT / cybersecurity,Polska Rada Biznesu Program Kariera
Staż w Dziale Komunikacji Marketingowej – wydawnictwo,Polska Rada Biznesu Program Kariera
Staż w Dziale Sprzedaży – wydawnictwo,Polska Rada Biznesu Program Kariera
Accounting Trainee – sieć handlowa (modern convenience / retail),Polska Rada Biznesu Program Kariera
